#Source,Year,Month,Day,Mean
0,2016,12,06,0.7895
1,2016,12,06,0.81
0,2016,11,06,0.7504
1,2016,11,06,0.93
0,2016,10,06,0.7292
1,2016,10,06,0.89
0,2016,09,06,0.8767
1,2016,09,06,0.87
0,2016,08,06,0.8998
1,2016,08,06,0.98
0,2016,07,06,0.8687
1,2016,07,06,0.83
0,2016,06,06,0.9006
1,2016,06,06,0.76
0,2016,05,06,0.8738
1,2016,05,06,0.93
0,2016,04,06,1.0733
1,2016,04,06,1.09
0,2016,03,06,1.2245
1,2016,03,06,1.3
0,2016,02,06,1.1921
1,2016,02,06,1.35
0,2016,01,06,1.0569
1,2016,01,06,1.17
0,2015,12,06,1.1219
1,2015,12,06,1.11
0,2015,11,06,0.9655
1,2015,11,06,1.04
0,2015,10,06,0.9913
1,2015,10,06,1.06
0,2015,09,06,0.9260
1,2015,09,06,0.81
0,2015,08,06,0.8746
1,2015,08,06,0.78
0,2015,07,06,0.8072
1,2015,07,06,0.71
0,2015,06,06,0.8835
1,2015,06,06,0.78
0,2015,05,06,0.8584
1,2015,05,06,0.78
0,2015,04,06,0.7741
1,2015,04,06,0.74
0,2015,03,06,0.8969
1,2015,03,06,0.9
0,2015,02,06,0.8843
1,2015,02,06,0.86
0,2015,01,06,0.8141
1,2015,01,06,0.81
0,2014,12,06,0.8308
1,2014,12,06,0.79
0,2014,11,06,0.6895
1,2014,11,06,0.67
0,2014,10,06,0.7851
1,2014,10,06,0.85
0,2014,09,06,0.7872
1,2014,09,06,0.9
0,2014,08,06,0.7986
1,2014,08,06,0.82
0,2014,07,06,0.6988
1,2014,07,06,0.57
0,2014,06,06,0.7623
1,2014,06,06,0.66
0,2014,05,06,0.7938
1,2014,05,06,0.87
0,2014,04,06,0.8006
1,2014,04,06,0.78
0,2014,03,06,0.7695
1,2014,03,06,0.77
0,2014,02,06,0.4800
1,2014,02,06,0.51
0,2014,01,06,0.6936
1,2014,01,06,0.73
0,2013,12,06,0.6981
1,2013,12,06,0.67
0,2013,11,06,0.8293
1,2013,11,06,0.81
0,2013,10,06,0.6787
1,2013,10,06,0.69
0,2013,09,06,0.6857
1,2013,09,06,0.78
0,2013,08,06,0.6605
1,2013,08,06,0.66
0,2013,07,06,0.6662
1,2013,07,06,0.59
0,2013,06,06,0.6838
1,2013,06,06,0.65
0,2013,05,06,0.7141
1,2013,05,06,0.61
0,2013,04,06,0.5610
1,2013,04,06,0.52
0,2013,03,06,0.6139
1,2013,03,06,0.66
0,2013,02,06,0.6357
1,2013,02,06,0.55
0,2013,01,06,0.5873
1,2013,01,06,0.68
0,2012,12,06,0.4655
1,2012,12,06,0.53
0,2012,11,06,0.7087
1,2012,11,06,0.75
0,2012,10,06,0.7022
1,2012,10,06,0.78
0,2012,09,06,0.7266
1,2012,09,06,0.76
0,2012,08,06,0.6694
1,2012,08,06,0.63
0,2012,07,06,0.6884
1,2012,07,06,0.57
0,2012,06,06,0.7039
1,2012,06,06,0.62
0,2012,05,06,0.7221
1,2012,05,06,0.76
0,2012,04,06,0.7335
1,2012,04,06,0.69
0,2012,03,06,0.5218
1,2012,03,06,0.58
0,2012,02,06,0.4235
1,2012,02,06,0.49
0,2012,01,06,0.4228
1,2012,01,06,0.46
0,2011,12,06,0.5485
1,2011,12,06,0.54
0,2011,11,06,0.4857
1,2011,11,06,0.56
0,2011,10,06,0.6349
1,2011,10,06,0.66
0,2011,09,06,0.5998
1,2011,09,06,0.56
0,2011,08,06,0.6160
1,2011,08,06,0.73
0,2011,07,06,0.6282
1,2011,07,06,0.73
0,2011,06,06,0.6465
1,2011,06,06,0.59
0,2011,05,06,0.5741
1,2011,05,06,0.53
0,2011,04,06,0.6522
1,2011,04,06,0.65
0,2011,03,06,0.5915
1,2011,03,06,0.64
0,2011,02,06,0.4976
1,2011,02,06,0.53
0,2011,01,06,0.4706
1,2011,01,06,0.51
0,2010,12,06,0.4894
1,2010,12,06,0.49
0,2010,11,06,0.7682
1,2010,11,06,0.79
0,2010,10,06,0.6268
1,2010,10,06,0.71
0,2010,09,06,0.5724
1,2010,09,06,0.61
0,2010,08,06,0.6595
1,2010,08,06,0.65
0,2010,07,06,0.7287
1,2010,07,06,0.62
0,2010,06,06,0.7339
1,2010,06,06,0.64
0,2010,05,06,0.7582
1,2010,05,06,0.75
0,2010,04,06,0.8287
1,2010,04,06,0.87
0,2010,03,06,0.8470
1,2010,03,06,0.92
0,2010,02,06,0.7080
1,2010,02,06,0.78
0,2010,01,06,0.6958
1,2010,01,06,0.73
0,2009,12,06,0.6176
1,2009,12,06,0.65
0,2009,11,06,0.6716
1,2009,11,06,0.77
0,2009,10,06,0.6418
1,2009,10,06,0.64
0,2009,09,06,0.7083
1,2009,09,06,0.7
0,2009,08,06,0.6998
1,2009,08,06,0.66
0,2009,07,06,0.6439
1,2009,07,06,0.72
0,2009,06,06,0.6741
1,2009,06,06,0.65
0,2009,05,06,0.5868
1,2009,05,06,0.65
0,2009,04,06,0.6539
1,2009,04,06,0.61
0,2009,03,06,0.5794
1,2009,03,06,0.53
0,2009,02,06,0.5679
1,2009,02,06,0.53
0,2009,01,06,0.5955
1,2009,01,06,0.62
0,2008,12,06,0.5635
1,2008,12,06,0.54
0,2008,11,06,0.6703
1,2008,11,06,0.66
0,2008,10,06,0.6690
1,2008,10,06,0.67
0,2008,09,06,0.5318
1,2008,09,06,0.65
0,2008,08,06,0.5594
1,2008,08,06,0.44
0,2008,07,06,0.5796
1,2008,07,06,0.6
0,2008,06,06,0.5314
1,2008,06,06,0.48
0,2008,05,06,0.5011
1,2008,05,06,0.51
0,2008,04,06,0.4827
1,2008,04,06,0.53
0,2008,03,06,0.7625
1,2008,03,06,0.73
0,2008,02,06,0.3774
1,2008,02,06,0.36
0,2008,01,06,0.2746
1,2008,01,06,0.24
0,2007,12,06,0.4872
1,2007,12,06,0.5
0,2007,11,06,0.5172
1,2007,11,06,0.57
0,2007,10,06,0.5670
1,2007,10,06,0.6
0,2007,09,06,0.5775
1,2007,09,06,0.64
0,2007,08,06,0.5509
1,2007,08,06,0.6
0,2007,07,06,0.5286
1,2007,07,06,0.62
0,2007,06,06,0.5374
1,2007,06,06,0.58
0,2007,05,06,0.6090
1,2007,05,06,0.67
0,2007,04,06,0.7336
1,2007,04,06,0.76
0,2007,03,06,0.6668
1,2007,03,06,0.7
0,2007,02,06,0.6609
1,2007,02,06,0.7
0,2007,01,06,0.8839
1,2007,01,06,0.96
0,2006,12,06,0.7692
1,2006,12,06,0.77
0,2006,11,06,0.6449
1,2006,11,06,0.72
0,2006,10,06,0.6774
1,2006,10,06,0.69
0,2006,09,06,0.6337
1,2006,09,06,0.64
0,2006,08,06,0.6231
1,2006,08,06,0.72
0,2006,07,06,0.6218
1,2006,07,06,0.54
0,2006,06,06,0.6399
1,2006,06,06,0.64
0,2006,05,06,0.5499
1,2006,05,06,0.47
0,2006,04,06,0.5177
1,2006,04,06,0.5
0,2006,03,06,0.5931
1,2006,03,06,0.63
0,2006,02,06,0.6221
1,2006,02,06,0.7
0,2006,01,06,0.4567
1,2006,01,06,0.57
0,2005,12,06,0.6235
1,2005,12,06,0.68
0,2005,11,06,0.7280
1,2005,11,06,0.76
0,2005,10,06,0.6930
1,2005,10,06,0.8
0,2005,09,06,0.6867
1,2005,09,06,0.78
0,2005,08,06,0.6247
1,2005,08,06,0.63
0,2005,07,06,0.6572
1,2005,07,06,0.66
0,2005,06,06,0.6722
1,2005,06,06,0.67
0,2005,05,06,0.6573
1,2005,05,06,0.65
0,2005,04,06,0.7314
1,2005,04,06,0.69
0,2005,03,06,0.6918
1,2005,03,06,0.69
0,2005,02,06,0.5143
1,2005,02,06,0.58
0,2005,01,06,0.6223
1,2005,01,06,0.72
0,2004,12,06,0.5081
1,2004,12,06,0.52
0,2004,11,06,0.7601
1,2004,11,06,0.72
0,2004,10,06,0.6177
1,2004,10,06,0.66
0,2004,09,06,0.5331
1,2004,09,06,0.53
0,2004,08,06,0.5141
1,2004,08,06,0.45
0,2004,07,06,0.4806
1,2004,07,06,0.26
0,2004,06,06,0.4707
1,2004,06,06,0.43
0,2004,05,06,0.4442
1,2004,05,06,0.42
0,2004,04,06,0.5940
1,2004,04,06,0.62
0,2004,03,06,0.6964
1,2004,03,06,0.64
0,2004,02,06,0.7232
1,2004,02,06,0.71
0,2004,01,06,0.5979
1,2004,01,06,0.59
0,2003,12,06,0.7361
1,2003,12,06,0.75
0,2003,11,06,0.5784
1,2003,11,06,0.55
0,2003,10,06,0.7271
1,2003,10,06,0.75
0,2003,09,06,0.6412
1,2003,09,06,0.66
0,2003,08,06,0.6202
1,2003,08,06,0.66
0,2003,07,06,0.5408
1,2003,07,06,0.55
0,2003,06,06,0.5381
1,2003,06,06,0.49
0,2003,05,06,0.5954
1,2003,05,06,0.62
0,2003,04,06,0.5601
1,2003,04,06,0.55
0,2003,03,06,0.5702
1,2003,03,06,0.57
0,2003,02,06,0.5626
1,2003,02,06,0.55
0,2003,01,06,0.6907
